,,plant_ge,Aralia,Chimaphila,Clintonia,Cornus,Cypripedium,Linnaea,Maianthemum,Medeola,Oxalis,Pyrola,Trientalis,Trillium,,,,,,,,,,,,,,,,,,,
,,plant_sp,nudicaulis,umbellata,borealis,canadensis,acaule,borealis,canadense,virginiana,montana,secunda,borealis,undulatum,,,,,,,,,,,,,,,,,,,
pol_ge,pol_sp,no.,1,2,3,4,5,6,7,8,9,10,11,12,,,,,,,,,,,,,,,,,,,
Acmaeopsoides,rufula,1,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Agiotes,stabilis,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Ancistrocerus,sp.,3,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Andrena,melanochroa,4,0,0,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Andrena,miranda,5,0,0,0,2,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Andrena,nivalis,6,0,0,0,1,0,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Andrena,rufosignata,7,0,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Andrena,sigmundi,8,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Andrena,thaspii,9,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Andrena,wheeleri,10,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Andrena,wilkella,11,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Andrena,w-scripta,12,1,0,0,7,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Anthaxia,expansa,13,0,0,0,3,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
Anthonomus,sp.,14,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Blera,badia,15,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Blera,confusa,16,0,0,0,10,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Blera,nigripes,17,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Bombus,perplexus,18,3,0,0,2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Bombus,ternarius,19,0,0,2,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Bombus,terricola,20,2,4,3,4,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
Bombus,vagans,21,8,5,6,17,2,1,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,
Bombylius,major,22,0,0,0,4,0,0,3,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
