genus,name,degree,group
Acmaeopsoides,A rufula,2,0
Agiotes,A stabilis,2,1
Ancistrocerus,A sp.,2,2
Andrena,A melanochroa,2,3
Andrena,A miranda,3,3
Andrena,A nivalis,3,3
Andrena,A rufosignata,2,3
Andrena,A sigmundi,2,3
Andrena,A thaspii,2,3
Andrena,A wheeleri,2,3
Andrena,A wilkella,2,3
Andrena,A w-scripta,3,3
Anthaxia,A expansa,3,4
Anthonomus,A sp.,2,5
Blera,B badia,2,6
Blera,B confusa,2,6
Blera,B nigripes,2,6
Bombus,B perplexus,3,7
Bombus,B ternarius,3,7
Bombus,B terricola,5,7
Bombus,B vagans,9,7
Bombylius,B major,3,8
Bombylius,B pigmaeus,2,8
Cantharis,C sp.,2,9
Carposcalis,C confusus,6,10
Carposcalis,C obscura,2,10
Cateres,C pennatus,2,11
Celastrina,C argiolus,2,12
Chalcosyrphus,C curvarius,2,13
Chalcosyrphus,C inarmatus,2,13
Chalcosyrphus,C memorum,2,13
Chalcosyrphus,C nigra,2,13
Cheilosia,C pallipes,2,14
Cheilosia,C sialia,2,14
Cheilosia,C slossonae,2,14
Cheilosia,C tristis,2,14
Crabro,C sp.,3,15
Dalopius,D sp.,2,16
Dialictus,D cressoni,5,17
Dialictus,D imitatus,3,17
Dialictus,D sp.,9,17
Eclimus,E harrisi,3,18
Ephemerella,E sp.,2,19
Eremomyioides,E setosa,2,20
Eudasyphora,E cyanicolor,2,21
Eupyses,E vestris,2,22
Eusphalerum,E convexum,3,23
Eusphalerum,E phothos,4,23
Eusphalerum,E sp.,6,23
Evodinus,E monticola,2,24
Evylaeus,E divergens,3,25
Evylaeus,E quebecensis,5,25
Fannia,F ungulata,2,26
Halictus,H confusus,2,27
Halictus,H rubicundus,3,27
Hoplitis,H producta,2,28
Hylaeus,H basalis,2,29
Hylaeus,H ellipticus,2,29
Hylaeus,H stevensi,2,29
Judolia,J montivagans,2,30
Lygus,L refidorsus,2,31
Mallota,M posticata,3,32
Melagyna,M lasiophthalma,3,33
Melanostoma,M sp.,2,34
Nomada,N cuneata,2,35
Nomada,N sayi,2,35
Orsodacne,O atra,2,36
Orthoneura,O pulchella,3,37
Osmia,O lignaria,2,38
Osmia,O proxima,3,38
Osmia,O pumila,2,38
Paramyia,P nitens,3,39
Parasyrphus,P relictus,4,40
Passaloecus,P sp.,2,41
Pegohylemyia,P fugax,2,42
Phalaenophana,P pyramusalis,2,43
Phaonia,P serva,3,44
Pidonia,P ruficolis,3,45
Pieris,P napi,2,46
Poanes,P hobomok,2,47
Psithyrus,P sp.,2,48
Pyrophaena,P rosarum,2,49
Rhopalum,R sp.,2,50
Sarcophaga,S nearctica,3,51
Sphaerophoria,S bifurcata,6,52
Sphaerophoria,S longipilosa,2,52
Sphaerophoria,S sp.,4,52
Sphecodes,S sp.,2,53
Syritta,S pipiens,2,54
Syritta,S rectus,2,54
Temnostoma,T alternans,2,55
Temnostoma,T balyras,2,55
Temnostoma,T barberi,2,55
Thamnotettix,T confinis,2,56
Trachysida,T aspera,2,57
Tropidia,T quadrata,3,58
Tychius,T stephensi,2,59
Vespula,V arenaria,2,60
Xylota,X bigelowi,2,61
Xylota,X hinei,3,61
Xylota,X sp.,2,61
Zeraea,Z americana,3,62
Aralia,A nudicaulis,18,63
Chimaphila,C umbellata,4,64
Clintonia,C borealis,16,65
Cornus,C canadensis,66,66
Cypripedium,C acaule,3,67
Linnaea,L borealis,22,68
Maianthemum,M canadense,27,69
Medeola,M virginiana,2,70
Oxalis,O montana,7,71
Pyrola,P secunda,5,72
Trientalis,T borealis,4,73
Trillium,T undulatum,5,74
