source,target,value,greedy_pairing,pagerank_pairing,regret_pairing
0,105,1,0,0,0
1,108,2,0,0,0
2,105,2,0,0,0
3,105,3,0,0,0
4,105,2,0,0,0
4,108,1,0,0,0
5,105,1,0,0,0
5,108,1,0,0,0
6,105,2,0,0,0
7,105,1,0,0,0
8,105,1,0,0,0
9,102,1,0,0,0
10,104,1,0,0,0
11,102,1,0,0,0
11,105,7,0,0,0
12,105,3,0,0,0
12,113,1,1,1,1
13,105,1,0,0,0
14,105,1,0,0,0
15,105,10,0,1,0
16,105,1,0,0,0
17,102,3,0,0,0
17,105,2,0,0,0
18,104,2,0,0,0
18,105,1,0,0,0
19,102,2,0,0,0
19,103,4,0,0,0
19,104,3,1,1,1
19,105,4,0,0,0
20,102,8,0,0,1
20,103,5,0,0,0
20,104,6,0,0,0
20,105,17,1,0,0
20,106,2,0,0,0
20,107,1,0,0,0
20,108,1,0,0,0
20,111,1,0,1,0
21,105,4,0,0,0
21,108,3,0,0,0
22,108,1,0,0,0
23,105,1,0,0,0
24,104,1,0,0,0
24,107,1,0,0,0
24,108,1,0,0,0
24,112,1,1,1,1
24,113,1,0,0,0
25,112,1,0,0,0
26,102,1,0,0,0
27,105,2,0,0,0
28,105,1,0,0,0
29,105,1,0,0,0
30,105,1,0,0,0
31,105,2,0,0,0
32,110,2,0,0,0
33,105,2,0,0,0
34,108,1,0,0,0
35,102,1,0,0,0
36,105,1,0,0,0
36,107,1,0,0,0
37,105,1,0,0,0
38,102,3,0,0,0
38,104,1,0,0,0
38,107,1,0,0,0
38,108,3,0,0,0
39,102,1,0,0,0
39,104,1,0,0,0
40,102,1,0,0,0
40,104,1,0,0,0
40,105,17,0,0,1
40,107,6,1,1,0
40,108,14,0,0,0
40,110,1,0,0,0
40,111,1,0,0,0
40,113,1,0,0,0
41,105,1,0,0,0
41,107,3,0,0,0
42,109,1,1,1,1
43,108,1,0,0,0
44,105,1,0,0,0
45,107,1,0,0,0
46,102,7,1,1,0
46,110,1,0,0,0
47,102,2,0,0,0
47,105,1,0,0,0
47,110,11,0,0,0
48,102,31,0,0,0
48,106,6,0,0,0
48,107,2,0,0,0
48,108,1,0,0,0
48,110,64,1,1,1
49,105,1,0,0,0
50,105,1,0,0,0
50,108,1,0,0,0
51,102,1,0,0,0
51,105,7,0,0,0
51,107,3,0,0,0
51,108,1,0,0,0
52,107,2,0,0,0
53,105,1,0,0,0
54,102,1,0,0,0
54,108,1,0,0,0
55,111,1,1,0,1
56,105,1,0,0,0
57,107,5,0,0,1
58,107,1,0,0,0
59,105,1,0,0,0
60,105,1,0,0,0
61,102,1,0,0,0
61,105,1,0,0,0
62,107,1,0,0,0
62,108,1,0,0,0
63,110,2,0,0,0
64,108,1,0,0,0
65,105,1,0,0,0
66,105,1,0,0,0
67,105,2,0,0,0
67,108,1,0,0,0
68,104,1,0,0,0
69,105,2,0,0,0
69,107,1,0,0,0
70,107,1,0,0,0
71,103,61,1,1,1
71,105,1,0,0,0
72,104,2,0,0,0
72,105,7,0,0,0
72,108,41,1,1,1
73,107,1,0,0,0
74,108,1,0,0,0
75,108,1,0,0,0
76,105,1,0,0,0
76,107,2,0,0,0
77,104,1,0,0,0
77,105,8,0,0,0
78,105,1,0,0,0
79,104,1,0,0,0
80,105,1,0,0,0
81,107,1,0,0,0
82,104,1,0,0,0
83,104,1,0,0,0
83,105,1,0,0,0
84,105,1,0,0,0
84,107,1,0,0,0
84,108,1,0,0,0
84,112,1,0,0,0
84,113,1,0,0,0
85,105,1,0,0,0
86,104,1,0,0,0
86,107,1,0,0,0
86,108,1,0,0,0
87,105,2,0,0,0
88,105,1,0,0,0
89,105,1,0,0,0
90,105,1,0,0,0
91,105,3,0,0,0
92,105,2,0,0,0
93,108,1,0,0,0
94,102,1,0,0,0
95,105,2,0,0,0
95,108,2,0,0,0
96,105,3,0,0,0
97,111,1,0,0,0
98,105,10,0,0,0
99,105,2,0,0,0
99,108,1,0,0,0
100,105,1,0,0,0
101,105,1,0,0,0
101,107,1,0,0,0
