,,,Plant species,Antirhea borbonica,Aphloia theiformis,Ardisia crenate,Badula insularis,Badula platiphylla,Bertiera zaluzania,Calophyllum eputamen var eputamen,Casearia coriacea,Chassalia coriacea var coriacea,Claoxylon linostachys ssp brachyphyllum,Clidemia hirta,Coffea macrocarpa,Coffea mauritiana,Cordemoya integrifolia,Croton fothergillifolius,Croton grangeroides,Diospyros revaughanii,Dodonaea viscosa ,Doratoxylon apetalum var diphyllum,Dracaena reflexa var angustifolia,Embelia angustifolia,Erythrospermum monticolum var monticolum,Erythroxylum macrocarpum,Eugenia orbiculata,Euodia chapelieri var chapelieri,Euodia obtusifolia ssp gigas var gigas,Faujasiopsis flexuosa ssp erecta,Flagellaria indica,Gaertnera psychotrioides/edentata,Gaertnera rotundifolia,Grangeria borbonica,Harungana madagascariensis,Helichrysum proteoides,Homalanthus populifolius,Labourdonnaisia callophylloides,Molinaea alternifolia,Molinaea macrantha,Myonima violacea var ovata,Ochna mauritiana,Olea lancea,Ossaea marginata,Phyllanthus phillyreifolius var telfairianus,Pittosporum senacia,Psathura terniflora,Psiadia terebinthina,Psidium cattleianum,Rubus alcefolius,Sideroxylon cinereum,Sideroxylon puberulum,Smilax anceps,Stillingia lineata ssp lineata,Syzygium commersonii,Syzygium coriaceum,Syzygium glomeratum,Syzygium petrinese,Tabernaemontana persicarifolia,Toddalia asiatica,Tristhema mauritiana,Trochetia blackburniana,Turraea rigida,Warneckea trinervis,Wikstroemia indica,Xylopia lamarckii ,
,,,Plant family,Euphorbiaceae,Rubiaceae,Flacourtiaceae,Myrsinaceae,Myrsinaceae,Myrsinaceae,Rubiaceae,Clusiaceae,Flacourtiaceae,Rubiaceae,Euphorbiaceae,Melastomataceae,Rubiaceae,Rubiaceae,Euphorbiaceae,Euphorbiaceae,Euphorbiaceae,Ebenaceae,Sapindaceae,Sapindaceae,Dracaenaceae,Myrsinaceae,Flacourtiaceae,Erythroxylaceae,Myrtaceae,Rutaceae,Rutaceae,Asteraceae,Flagellariaceae,Rubiaceae,Rubiaceae,Chrysobalanaceae,Clusiaceae,Asteraceae,Euphorbiaceae,Sapotaceae,Sapindaceae,Sapindaceae,Rubiaceae,Ochnaceae,Oleaceae,Melastomataceae,Euphorbiaceae,Pittosporaceae,Rubiaceae,Asteraceae,Myrtaceae,Rosaceae,Sapotaceae,Sapotaceae,Smilacaceae,Euphorbiaceae,Myrtaceae,Myrtaceae,Myrtaceae,Myrtaceae,Apocynaceae,Rutaceae,Melastomataceae,Malvaceae,Meliaceae,Melastomataceae,Thymelaeaceae,Annonaceae
,,,Origin,2,2,2,3,1,1,1,1,2,1,1,3,1,2,2,1,1,1,2,2,2,2,1,1,1,2,2,1,2,1,1,2,3,1,3,2,2,1,1,1,2,3,1,2,1,1,3,3,1,1,2,2,1,1,1,1,1,2,2,1,1,1,3,1
Animal species,Animal family,Origin,Total,3.666666667,3.23514392,31.34379764,0,1.2,3.399698341,19.65320513,3.952380952,2.607754011,3.829120879,0.561111111,0,1.028525641,0.222222222,2.053571429,21.66646911,9.500975008,5.507936508,5.791841834,1,1.4,0.414420063,0,24.09090354,1,0.902020202,1.75,12.61063492,0.657142857,11.95234488,0.166666667,7.840835243,2.35,3.072619048,27.20527931,7.577308802,12.773454,7.436507937,8.433051948,11.26579538,6.263991564,0,4.480669599,0,10,26.85773583,15.21349206,4.383333333,18.70331397,8.926031746,0.028571429,195.95,1.135714286,6.246204482,0.5,2.950863679,2.182692308,14.9710101,4,4.833333333,3.666666667,0.433809524,0.644444444,0
Agathidinae sp,Braconidae,4,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ahasverus advena Waltle,Cucujidae,3,2.346897547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818182,0,0.166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.031746032,0,0,0,0,0,1.633333333,0,0,0,0,0,0,0,0,0,0,0,0
Allograpta nasuta Marquart,Syrphidae,2,13.33907703,0,0.730793651,0.04,0,0,0,0.737179487,0,0,0.535714286,0,0,0,0,0,0.163333333,0,0,0,0,0.3,0,0,0.641269841,0,0,0,0,0,0.422222222,0,0.166666667,0,0,0.740909091,0,0.28,0.142857143,0.111111111,0.3,0.5,0,0,0,0,0.277777778,1.05,0,0.075,0,0,6.033333333,0,0,0,0,0,0.090909091,0,0,0,0,0,0
Apis mellifera Linnaeus,Apidae,3,69.18549733,0,0.08,4.988034188,0,0,0,10.80897436,2.619047619,1.737700535,0.133333333,0,0,0,0,0,0.1,0.028571429,4.722222222,0,0,0.5,0,0,0.2,0,0,0,1.111111111,0,1.752020202,0,2.687950089,0,0.125,0,6.741197691,2.498095238,0,1.439242424,1.752587992,0.074074074,0,0,0,0,1.00952381,1.8,1.3,8.864205969,6.142380952,0,0,0,0,0,1.512605042,0,0,0,4.166666667,0,0.290952381,0,0
Atherigona orientalis Schiner ,Muscidae,2,0.057142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.057142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brachymyrmex sp ,Formicidae,2,21.84073421,0,0,2.760989011,0,0,0.6,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,1.428571429,0.625,0,0,0,0,0,0,3.596491228,0,0,0,0.25,0,9,0,2.668571429,0.2,0,0,0.111111111,0,0,0,0,0,0
Calopsilia florella Fabricius,Pieridae,3,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
