source,target,value
0,135,1
1,114,3
1,128,1
1,130,1
1,150,16
2,100,7
2,105,7
2,108,5
2,114,1
2,119,3
2,122,6
2,128,4
2,130,1
2,133,7
2,135,2
2,136,1
2,137,1
2,138,3
2,139,5
2,144,2
2,145,10
2,150,60
3,101,49
3,105,108
3,106,26
3,107,17
3,108,1
3,114,1
3,116,47
3,119,5
3,122,2
3,126,11
3,128,17
3,130,26
3,132,1
3,134,67
3,135,24
3,137,14
3,138,17
3,144,10
3,145,18
3,146,13
3,147,88
3,148,61
3,154,15
3,158,41
3,160,2
5,101,27
5,104,6
5,111,2
5,131,4
5,136,14
5,137,6
5,144,35
5,148,2
5,150,90
5,152,26
5,153,2
5,156,1
6,122,2
7,138,1
8,144,1
8,150,10
9,114,1
10,150,6
11,144,3
12,99,4
12,100,2
12,101,21
12,103,4
12,104,24
12,106,6
12,111,1
12,113,14
12,114,90
12,115,62
12,117,35
12,122,69
12,124,9
12,125,17
12,126,14
12,127,6
12,128,13
12,130,19
12,131,12
12,132,7
12,133,135
12,134,4
12,135,20
12,138,58
12,139,50
12,141,2
12,144,27
12,145,54
12,150,744
12,152,17
12,155,8
12,156,64
12,161,6
13,141,3
14,117,1
15,101,2
15,114,1
15,115,3
15,128,7
15,132,2
15,135,5
15,138,1
15,144,1
15,145,5
15,147,4
15,148,1
15,150,70
15,152,1
15,156,1
16,133,5
18,133,2
19,150,6
20,137,1
22,114,3
22,117,5
22,133,2
22,144,10
22,145,2
22,156,3
24,109,2
25,101,4
25,105,2
25,114,4
25,115,16
25,122,12
25,126,45
25,130,13
25,132,4
25,135,2
25,137,33
25,141,1
25,143,10
25,144,28
25,147,1
25,148,1
25,156,19
26,117,2
26,118,3
26,122,6
26,128,5
26,133,3
26,135,2
26,150,5
26,153,3
27,100,1
27,101,11
27,107,6
27,122,2
27,130,1
27,135,2
27,145,9
27,150,8
27,152,1
28,114,1
29,122,1
29,130,2
30,141,1
31,101,2
31,114,1
31,126,16
31,133,45
31,135,11
31,147,30
31,150,27
31,154,1
31,156,2
33,101,2
33,114,9
33,122,8
34,101,2
34,122,1
35,144,2
37,147,3
38,128,2
41,133,1
42,105,1
42,119,1
42,122,2
42,135,2
42,138,2
42,145,6
42,150,10
43,128,2
43,144,3
44,108,7
44,135,2
44,137,1
44,144,1
44,150,3
46,132,2
47,101,1
48,144,21
49,109,1
49,113,1
49,114,11
49,122,28
49,126,18
49,135,4
49,144,4
49,148,6
49,150,13
50,101,1
50,116,2
51,117,1
51,122,6
51,144,2
51,150,14
51,156,2
53,101,24
53,114,1
53,122,10
53,133,7
53,138,1
53,144,4
53,147,4
53,156,5
54,101,5
54,122,2
54,138,2
54,150,10
57,150,20
59,150,4
60,101,27
60,105,1
60,114,3
60,115,6
60,117,2
60,122,12
60,128,6
60,130,1
60,132,2
60,133,12
60,135,3
60,138,1
60,141,2
60,147,7
60,148,3
60,150,161
60,152,8
60,154,5
61,100,8
61,111,5
61,112,2
61,114,7
61,122,3
61,128,42
61,130,1
61,138,4
61,144,13
61,150,6
61,152,1
61,155,8
61,156,2
61,160,1
62,100,4
62,114,1
62,130,1
62,144,6
63,104,1
65,101,1
65,122,10
65,135,10
65,141,2
65,144,3
65,147,2
65,150,100
65,154,1
66,144,3
67,116,5
67,122,2
67,126,2
67,154,1
68,101,3
68,147,4
68,150,9
69,99,2
69,100,3
69,101,5
69,105,1
69,108,1
69,114,9
69,117,3
69,122,2
69,126,8
69,132,1
69,133,15
69,134,1
69,138,1
69,144,8
69,145,4
69,147,2
69,150,285
69,156,12
71,101,7
71,108,18
71,122,1
71,128,2
71,129,1
71,137,2
71,144,1
72,101,1
72,109,1
72,115,1
72,134,1
72,141,1
72,146,10
72,147,1
72,150,9
73,134,2
73,135,1
73,150,4
74,157,10
75,141,5
76,106,2
76,151,4
76,154,2
77,122,1
77,141,1
77,150,14
77,152,1
78,101,2
78,105,1
78,108,3
78,128,4
78,132,1
78,135,12
78,137,3
78,138,5
78,145,2
78,146,5
78,156,2
79,122,2
80,101,2
80,115,1
80,147,1
81,132,2
81,150,10
81,154,1
81,158,6
82,122,2
83,114,1
84,114,1
87,150,4
89,100,1
89,101,32
89,104,1
89,105,10
89,106,4
89,108,1
89,114,8
89,117,2
89,118,6
89,119,1
89,122,13
89,126,8
89,128,1
89,130,4
89,133,8
89,135,14
89,137,3
89,138,8
89,144,33
89,145,7
89,147,14
89,148,6
89,150,38
89,154,1
89,156,9
90,101,2
90,114,3
90,122,10
90,128,2
90,137,2
90,144,8
90,147,6
90,148,3
91,101,5
91,122,4
91,133,2
91,144,9
91,147,4
92,144,4
93,100,1
93,105,1
93,114,2
93,132,1
93,138,1
93,144,2
93,150,29
94,115,1
94,150,15
95,99,28
95,101,52
95,103,8
95,105,58
95,111,1
95,113,5
95,114,35
95,122,10
95,130,1
95,131,7
95,133,20
95,135,3
95,136,58
95,137,16
95,141,23
95,146,15
95,150,132
95,151,4
95,152,3
95,155,5
95,156,20
95,159,36
96,114,1
97,128,1
98,99,2
98,100,2
98,101,9
98,104,1
98,107,1
98,114,6
98,122,1
98,123,10
98,128,5
98,139,5
98,143,90
98,144,8
98,145,32
98,150,21
98,157,30
