source,target,value
0,135,0.133333333
1,114,0.333333333
1,128,0.181818182
1,130,0.166666667
1,144,0.031746032
1,150,1.633333333
2,100,0.730793651
2,101,0.04
2,105,0.737179487
2,108,0.535714286
2,114,0.163333333
2,119,0.3
2,122,0.641269841
2,128,0.422222222
2,130,0.166666667
2,133,0.740909091
2,135,0.28
2,136,0.142857143
2,137,0.111111111
2,138,0.3
2,139,0.5
2,144,0.277777778
2,145,1.05
2,147,0.075
2,150,6.033333333
2,156,0.090909091
3,100,0.08
3,101,4.988034188
3,105,10.80897436
3,106,2.619047619
3,107,1.737700535
3,108,0.133333333
3,114,0.1
3,115,0.028571429
3,116,4.722222222
3,119,0.5
3,122,0.2
3,126,1.111111111
3,128,1.752020202
3,130,2.687950089
3,132,0.125
3,134,6.741197691
3,135,2.498095238
3,137,1.439242424
3,138,1.752587992
3,139,0.074074074
3,144,1.00952381
3,145,1.8
3,146,1.3
3,147,8.864205969
3,148,6.142380952
3,154,1.512605042
3,158,4.166666667
3,160,0.290952381
4,148,0.057142857
5,101,2.760989011
5,104,0.6
5,111,0.2
5,131,0.4
5,136,1.428571429
5,137,0.625
5,144,3.596491228
5,148,0.25
5,150,9.0
5,152,2.668571429
5,153,0.2
5,156,0.111111111
6,122,0.222222222
7,138,0.173913043
8,144,0.163101604
8,150,1.0
9,114,0.133333333
10,150,0.666666667
11,144,0.333333333
12,99,0.4
12,100,0.210526316
12,101,2.152380952
12,103,0.4
12,104,2.412518854
12,106,0.666666667
12,111,0.153846154
12,113,1.428571429
12,114,9.094722477
12,115,6.254112554
12,117,3.5
12,122,6.974603175
12,124,0.902020202
12,125,1.75
12,126,1.436825397
12,127,0.6
12,128,1.365079365
12,130,1.995238095
12,131,1.2
12,132,0.761904762
12,133,13.58227968
12,134,0.4
12,135,2.046666667
12,138,5.807246377
12,139,5.034025234
12,141,0.281182796
12,144,2.740808081
12,145,5.480952381
12,147,0.08
12,150,74.46666667
12,152,1.742063492
12,155,0.857142857
12,156,6.426666667
12,161,0.644444444
13,141,0.322222222
14,117,0.173913043
15,101,0.222186235
15,114,0.192156863
15,115,0.316369293
15,119,0.05
15,128,0.722222222
15,130,0.02
15,132,0.257738095
15,135,0.5
15,138,0.166666667
15,144,0.155555556
15,145,0.5
15,147,0.407857143
15,148,0.195
15,149,0.028571429
15,150,7.0
15,152,0.111111111
15,156,0.181818182
16,133,0.5
17,117,0.066666667
18,133,0.25
19,150,0.666666667
20,137,0.1
21,120,0.068965517
22,109,0.026666667
22,114,0.35
22,117,0.533333333
22,133,0.25
22,144,1.098701299
22,145,0.2
22,156,0.333333333
23,117,0.013333333
24,109,0.25
25,99,0.066666667
25,101,0.485714286
25,105,0.287179487
25,114,0.466666667
25,115,1.639963545
25,119,0.05
25,122,1.217094017
25,126,4.554761905
25,130,1.366666667
25,132,0.483333333
25,135,0.266666667
25,137,3.333333333
25,141,0.114516129
25,143,1.0
25,144,2.871645022
25,147,0.18
25,148,0.114285714
25,156,1.988484848
26,117,0.2
26,118,0.375
26,119,0.05
26,120,0.072727273
26,122,0.619047619
26,128,0.547222222
26,133,0.35
26,135,0.2
26,144,0.022222222
26,147,0.033333333
26,150,0.5
26,153,0.3
27,100,0.111111111
27,101,1.178614806
27,107,0.661497326
27,119,0.033333333
27,122,0.222222222
27,130,0.166666667
27,135,0.2
27,145,0.952380952
27,147,0.058333333
27,150,0.8
27,152,0.142857143
28,114,0.166666667
29,122,0.133333333
29,130,0.228571429
30,141,0.111111111
31,101,0.2
31,114,0.133333333
31,117,0.013333333
31,126,1.6
31,132,0.0625
31,133,4.503103753
31,135,1.12
31,147,3.035562771
31,150,2.75
31,154,0.142857143
31,156,0.24
32,114,0.083333333
33,101,0.222222222
33,114,0.909502262
33,122,0.857142857
33,144,0.052631579
33,147,0.08
34,101,0.222222222
34,122,0.111111111
35,144,0.281818182
36,117,0.013333333
37,119,0.016666667
37,147,0.302857143
38,128,0.222222222
39,117,0.02739726
40,147,0.08
41,133,0.133333333
42,105,0.166666667
42,119,0.1
42,122,0.285714286
42,135,0.2
42,138,0.233333333
42,145,0.685714286
42,150,1.0
43,128,0.25
43,144,0.333333333
43,147,0.08
44,108,0.714285714
44,135,0.24
44,137,0.1
44,144,0.1
44,150,0.333333333
45,147,0.08
46,132,0.2
47,101,0.133333333
48,144,2.157142857
49,109,0.106666667
49,113,0.125
49,114,1.130952381
49,117,0.04
49,122,2.822222222
49,126,1.885714286
49,135,0.4
49,137,0.057142857
49,144,0.433333333
49,148,0.63
49,150,1.333333333
50,101,0.166666667
50,116,0.285714286
51,117,0.133333333
51,122,0.666666667
51,133,0.081081081
51,144,0.242857143
51,150,1.4
51,156,0.25
52,147,0.025
53,101,2.472161172
53,114,0.152631579
53,117,0.086956522
53,119,0.016666667
53,122,1.066666667
53,133,0.727027027
53,138,0.166666667
53,144,0.428571429
53,147,0.410909091
53,156,0.523636364
54,101,0.583333333
54,122,0.266666667
54,127,0.057142857
54,138,0.266666667
54,144,0.08
54,150,1.0
55,144,0.031746032
56,144,0.071428571
57,150,2.0
58,101,0.076923077
59,150,0.4
60,101,2.753957972
60,105,0.153846154
60,114,0.392442645
60,115,0.677339901
60,117,0.226666667
60,120,0.081818182
60,122,1.2
60,128,0.666666667
60,130,0.166666667
60,132,0.273809524
60,133,1.238095238
60,135,0.386666667
60,138,0.166666667
60,141,0.25
60,144,0.08
60,147,0.77
60,148,0.3
60,150,16.13333333
60,152,0.833333333
60,154,0.528361345
61,100,0.866955267
61,111,0.520833333
61,112,0.222222222
61,114,0.797712418
61,115,0.034482759
61,119,0.066666667
61,122,0.333333333
61,126,0.066666667
61,128,4.213347763
61,130,0.171428571
61,133,0.027027027
61,138,0.444444444
61,144,1.3
61,147,0.033333333
61,148,0.05
61,150,0.666666667
61,152,0.191666667
61,155,0.825549451
61,156,0.222222222
61,160,0.142857143
62,100,0.432900433
62,114,0.133333333
62,130,0.117647059
62,144,0.619047619
62,147,0.05
63,104,0.1
64,105,0.0625
65,101,0.166666667
65,122,1.0
65,135,1.062857143
65,141,0.2
65,144,0.333333333
65,147,0.28
65,150,10.0
65,154,0.142857143
66,117,0.04
66,144,0.333333333
67,107,0.090909091
67,116,0.5
67,122,0.285714286
67,126,0.222222222
67,130,0.02
67,132,0.0625
67,144,0.05
67,154,0.166666667
68,101,0.315789474
68,147,0.465263158
68,150,0.9
69,99,0.2
69,100,0.333333333
69,101,0.574603175
69,105,0.166666667
69,108,0.125
69,114,0.933333333
69,117,0.357723577
69,119,0.033333333
69,122,0.285714286
69,126,0.866666667
69,132,0.145833333
69,133,1.533333333
69,134,0.125
69,137,0.025
69,138,0.191666667
69,144,0.826190476
69,145,0.4
69,147,0.20952381
69,148,0.025
69,150,28.5
69,156,1.262222222
70,133,0.090909091
71,101,0.766666667
71,108,1.857417582
71,114,0.058823529
71,122,0.125
71,128,0.2
71,129,0.166666667
71,132,0.0625
71,137,0.2
71,138,0.025
71,144,0.1
71,148,0.088888889
72,101,0.105263158
72,109,0.177777778
72,115,0.105263158
72,120,0.081818182
72,134,0.111111111
72,141,0.166666667
72,146,1.0
72,147,0.142857143
72,150,0.916666667
73,134,0.2
73,135,0.173333333
73,150,0.4
74,157,1.0
75,141,0.545454545
76,106,0.25
76,151,0.4
76,154,0.222222222
77,122,0.125
77,141,0.125
77,147,0.025
77,150,1.433333333
77,152,0.111111111
78,101,0.206666667
78,105,0.133333333
78,108,0.320512821
78,128,0.422222222
78,132,0.1875
78,135,1.231036415
78,137,0.3
78,138,0.551190476
78,145,0.222222222
78,146,0.583333333
78,147,0.066666667
78,148,0.066666667
78,156,0.25
79,122,0.2
80,101,0.285714286
80,115,0.181818182
80,147,0.142857143
80,156,0.08
81,115,0.028571429
81,132,0.2
81,138,0.025
81,147,0.04
81,150,1.0
81,154,0.117647059
81,158,0.666666667
82,122,0.222222222
83,114,0.142857143
84,114,0.1
