source,target,value,greedy_pairing,pagerank_pairing,regret_pairing
0,135,0.133333333,0,0,0
1,114,0.333333333,0,0,0
1,128,0.181818182,0,0,0
1,130,0.166666667,0,0,0
1,144,0.031746032,0,0,0
1,150,1.633333333,0,0,0
2,100,0.730793651,0,0,0
2,101,0.04,0,0,0
2,105,0.737179487,0,0,0
2,108,0.535714286,0,0,0
2,114,0.163333333,0,0,0
2,119,0.3,0,1,0
2,122,0.641269841,0,0,0
2,128,0.422222222,0,0,0
2,130,0.166666667,0,0,0
2,133,0.740909091,0,0,0
2,135,0.28,0,0,0
2,136,0.142857143,0,0,0
2,137,0.111111111,0,0,0
2,138,0.3,0,0,0
2,139,0.5,0,0,1
2,144,0.277777778,0,0,0
2,145,1.05,1,0,0
2,147,0.075,0,0,0
2,150,6.033333333,0,0,0
2,156,0.090909091,0,0,0
3,100,0.08,0,0,0
3,101,4.988034188,0,0,0
3,105,10.80897436,1,0,1
3,106,2.619047619,0,0,0
3,107,1.737700535,0,0,0
3,108,0.133333333,0,0,0
3,114,0.1,0,0,0
3,115,0.028571429,0,0,0
3,116,4.722222222,0,0,0
3,119,0.5,0,0,0
3,122,0.2,0,0,0
3,126,1.111111111,0,0,0
3,128,1.752020202,0,0,0
3,130,2.687950089,0,1,0
3,132,0.125,0,0,0
3,134,6.741197691,0,0,0
3,135,2.498095238,0,0,0
3,137,1.439242424,0,0,0
3,138,1.752587992,0,0,0
3,139,0.074074074,0,0,0
3,144,1.00952381,0,0,0
3,145,1.8,0,0,0
3,146,1.3,0,0,0
3,147,8.864205969,0,0,0
3,148,6.142380952,0,0,0
3,154,1.512605042,0,0,0
3,158,4.166666667,0,0,0
3,160,0.290952381,0,0,0
4,148,0.057142857,1,0,0
5,101,2.760989011,0,0,0
5,104,0.6,0,0,0
5,111,0.2,0,1,0
5,131,0.4,0,0,0
5,136,1.428571429,0,0,1
5,137,0.625,0,0,0
5,144,3.596491228,1,0,0
5,148,0.25,0,0,0
5,150,9.0,0,0,0
5,152,2.668571429,0,0,0
5,153,0.2,0,0,0
5,156,0.111111111,0,0,0
6,122,0.222222222,0,0,0
7,138,0.173913043,0,0,0
8,144,0.163101604,0,0,0
8,150,1.0,0,0,0
9,114,0.133333333,0,0,0
10,150,0.666666667,0,0,0
11,144,0.333333333,0,0,0
12,99,0.4,0,0,0
12,100,0.210526316,0,0,0
