group,name,degree
animal,Agathidinae sp,1
high-connected animal,Ahasverus advena Waltle,5
high-connected animal,Allograpta nasuta Marquart,20
high-connected animal,Apis mellifera Linnaeus,28
animal,Atherigona orientalis Schiner ,1
high-connected animal,Brachymyrmex sp ,12
animal,Calopsilia florella Fabricius,1
animal,Campopleginae sp 1,1
animal,Cerambycidae sp 1,2
animal,Cerambycidae sp 2,1
animal,Cerambycidae sp 3,1
animal,Ceratitis roas Karsch,1
high-connected animal,Chaetocnema sp 1,34
animal,Cheloninae sp 1,1
animal,Cheloninae sp 3,1
high-connected animal,Chrysomya megacephala Fabricius,17
animal,Cixiidae sp 1,1
animal,Cixiidae sp 2,1
animal,Cotesia sp1,1
animal,Cratopus psittacus Faimaire,1
animal,Cryptocephalinae sp 1,1
animal,Dasytinae sp 1,1
high-connected animal,Dioxyna sororcula Wiedemann,7
animal,Diptera sp 2,1
animal,Diptera sp 3,1
high-connected animal,Dysauxes florida Joan.,18
high-connected animal,Episyrphus sp. near circularis Hull,12
high-connected animal,Eristalinus flaveolus Bigot,11
animal,Eumolpinae sp 2,1
animal,Eumolpinae sp 3,2
animal,Eurytonidae sp 1,1
high-connected animal,Fannia pusio Wiedemann,11
animal,Gelechioidea sp 1,1
high-connected animal,Gelechioidea sp 2,5
animal,Gelechioidea sp 3,2
animal,Goniurellia or Dectodes sp,1
animal,Graphomya maculata Scopoli,1
animal,Henotesia narcissus Fabricius,2
animal,Hippotion eson Cramer,1
animal,Homoneura sp 2,1
animal,Homoneura sp 3,1
animal,Hydrotaea fuliginosa Robineau-Desvoidy,1
high-connected animal,Ischiodon aegyptius Wiedemann,7
animal,Lecithoceridae sp 1,3
high-connected animal,Leptotes pirithous Linnaeus,5
animal,Limnophora quaterna Loew,1
animal,Lygaeidae sp 2,1
animal,Lygaeidae sp 3,1
animal,Lygaeidae sp 5,1
high-connected animal,Lygistorrhina sp,11
animal,Macroglossum milvus Boisduval,2
high-connected animal,Mauritiborium undulatus,6
animal,Melanagromyza sojae Zehntner,1
high-connected animal,Melanostoma annulipes Macquart,10
high-connected animal,Melanostoma bituberculatum Loew,6
animal,Miridae sp 1,1
animal,Mordellidae sp 1,1
animal,Mordellidae sp 2,1
animal,Mordellidae sp 3,1
animal,Musca confiscata Speiser,1
high-connected animal,Musca domestica Linnaeus,20
high-connected animal,Nacoleia sp 1,20
high-connected animal,Nacoleia sp 2,5
animal,Nitidulidae sp 1,1
animal,Nyctemera insulare Boisduval,1
high-connected animal,Ophyra capensis Wiedemann,8
animal,Orchisia costata Meigen,2
high-connected animal,Ornidia obesa Fabricius,8
animal,Orthellia albigena Stein,3
high-connected animal,Pachycerina crinicornis Thomson,21
animal,Palexorista sp 1,1
high-connected animal,Panara naso Fabricius,11
high-connected animal,Paragus borbonicus Macquart,9
animal,Pelecophora intemipta All,3
animal,Phalanta phalantha Drury,1
animal,Pheidole megacephala Fabricius,1
animal,Phelsuma cepediana Merrem,3
high-connected animal,Phorinia sp,5
high-connected animal,Polistes hebraeus Fabricius,13
animal,Psyllidae sp 2,1
high-connected animal,Sapromyza sp. near nudiuscula Lamb.,4
high-connected animal,Sarcophaga arno Curran ,7
animal,Scatopsidae sp,1
animal,Scirtidae sp 1,1
animal,Scirtidae sp 2,1
animal,Scolia carniflex Coquillett,1
animal,Scopariinae sp,2
animal,Simulium (Byssodon) sp 2,1
animal,Siphona sp,1
high-connected animal,Stomorhina lunata Fabricius,30
high-connected animal,Stomoxys calcitrans Linnaeus,10
high-connected animal,Stomoxys niger Macquart,7
animal,Syritta bulbus Walker ,1
high-connected animal,Syritta nigrofemorata Macquart,8
animal,Syritta sp. (near abyssinica Rondani),3
high-connected animal,Technomyrmex albipes Smith,24
animal,Thelairodrino sp,1
animal,Thysanoplusia orichalcea Fabricius,1
high-connected animal,Villa unifasciata Macquart,17
highly-connected plant,Antirhea borbonica,5
highly-connected plant,Aphloia theiformis,10
