width,noise,instance_number,greedy_mean,greedy_stdev,pagerank_value,regret_value,optimal_value
100,0,0,41.46,0.935882,42.3158,48.4085,48.4085
100,0,1,37.64,1.00565,37.2178,44.3979,44.3979
100,0,2,34.59,0.971573,35.1697,42.1351,42.1351
100,0,3,42.72,0.890968,43.8519,49.5269,49.5269
100,0,4,37.59,0.872486,37.7144,45.6665,45.6665
100,0,5,40.55,0.845004,42.1427,47.7213,47.7213
100,0,6,38.71,0.951476,39.0661,46.5408,46.5408
100,0,7,43.59,0.904905,43.2099,50.7962,50.7962
100,0,8,39.32,0.769576,38.5372,45.2438,45.2438
100,0,9,40.05,0.943326,41.4444,48.0557,48.0557
100,0,10,39.89,0.752928,41.1029,46.1029,46.1029
100,0,11,38.58,0.887178,37.5241,45.2139,45.2139
100,0,12,43.2,0.996495,43.518,51.4372,51.4372
100,0,13,39.47,0.914612,40.096,45.789,45.789
100,0,14,42.33,0.860928,41.6027,49.7613,49.7613
100,0,15,41.94,0.957276,41.8469,45.5343,45.5343
100,0,16,40.73,1.02321,41.2723,46.1162,46.1162
100,0,17,41.14,0.876651,40.3843,47.72,47.72
100,0,18,42.26,0.786881,43.2026,49.6327,49.6327
100,0,19,44.42,0.902198,44.3917,50.8107,50.8107
100,0,20,37.91,0.837496,37.3207,43.8902,43.8902
100,0,21,42.8,0.846222,44.4723,50.1349,50.1349
100,0,22,41.5,0.883893,41.5328,48.8602,48.8602
100,0,23,41.53,1.15243,42.1632,49.2343,49.2343
100,0,24,43.76,0.853937,43.1935,51.5658,51.5658
100,0,25,41.33,0.899036,40.9201,49.2294,49.2294
100,0,26,43.52,0.871568,44.5725,47.4529,47.4529
100,0,27,41.38,0.851413,41.7351,46.1791,46.1791
100,0,28,36.84,0.962039,37.5807,44.4113,44.4113
100,0,29,43.76,0.886786,44.0202,51.0674,51.0674
100,0,30,44.9,0.801041,45.6573,52.1248,52.1248
100,0,31,40,0.932963,40.6753,46.8355,46.8355
100,0,32,42.49,0.899626,43.7039,46.8247,46.8247
100,0,33,42.51,0.966342,41.5558,50.4719,50.4719
100,0,34,42.6,0.879625,42.7848,49.1916,49.1916
100,0,35,43.21,0.892815,42.958,50.4184,50.4184
100,0,36,39.54,0.907694,39.4565,47.0677,47.0677
100,0,37,43.52,1.01921,45.1073,49.687,49.687
100,0,38,42,0.947304,43.1433,49.5807,49.5807
100,0,39,42.88,0.764724,43.1172,48.2618,48.2618
100,0,40,39.68,0.829828,40.066,46.2042,46.2042
100,0,41,42.82,0.86541,43.7133,49.2192,49.2192
100,0,42,40.49,0.984045,41.2562,47.3649,47.3649
100,0,43,44.78,0.91217,46.0724,51.9955,51.9955
100,0,44,41.34,0.918626,40.8493,49.0936,49.0936
100,0,45,42.34,0.804614,42.9507,50.3738,50.3738
100,0,46,40.7,1.01235,40.5312,46.9134,46.9134
100,0,47,40.09,0.89022,39.6586,46.9766,46.9766
100,0,48,41.18,0.918629,41.2306,44.5971,44.5971
100,0,49,40.16,1.0889,40.7513,46.86,46.86
100,0.1,0,34.92,0.985943,36.4628,42.1558,44.4473
100,0.1,1,34.69,0.928007,34.7442,42.3581,44.8744
100,0.1,2,36.69,1.03732,36.4898,44.2604,46.7315
100,0.1,3,37.73,1.00939,37.7062,45.9379,47.7751
100,0.1,4,34.38,1.18799,32.9766,42.1872,44.621
100,0.1,5,37.33,0.869111,37.8012,44.9688,47.2912
100,0.1,6,34.4,1.11191,36.3272,41.4735,43.5052
100,0.1,7,37.26,0.877596,36.8548,44.8941,46.8134
100,0.1,8,37.94,0.941953,38.269,45.4012,47.912
100,0.1,9,35.9,1.08587,36.9284,43.6663,45.9691
100,0.1,10,37.14,1.00858,37.5584,43.3827,45.7356
100,0.1,11,36.16,1.05852,35.4355,43.4205,46.157
100,0.1,12,35.88,1.00523,35.894,42.0015,43.7997
100,0.1,13,36.41,1.10836,38.7208,44.3427,47.2435
100,0.1,14,38.28,1.00744,41.1119,45.5104,47.9969
100,0.1,15,34.83,0.958427,34.3834,40.6964,43.38
100,0.1,16,37.75,1.00816,38.0738,45.1529,47.6225
100,0.1,17,37.79,0.988332,39.4783,45.0281,46.4368
100,0.1,18,39.47,0.997809,39.6182,47.0126,49.2779
100,0.1,19,38.13,0.996058,38.7573,44.7045,48.2458
100,0.1,20,38.11,1.14249,36.8122,45.8804,47.2639
100,0.1,21,33.72,1.17679,33.851,41.4873,43.3092
100,0.1,22,36.65,0.966556,36.3261,43.6992,46.6349
100,0.1,23,35.35,1.08694,35.329,43.2272,46.4977
100,0.1,24,36.73,0.95679,36.8711,43.2889,44.0372
100,0.1,25,34.62,1.0144,34.4367,43.6856,45.6614
100,0.1,26,40.04,1.0702,40.2795,46.8243,49.6515
100,0.1,27,38.07,1.11504,39.0261,45.5674,48.1694
100,0.1,28,36.14,0.900767,35.9926,43.0244,45.671
100,0.1,29,37.22,1.05655,38.1131,45.4031,47.0792
100,0.1,30,39.07,1.10746,37.9459,45.7316,47.1523
100,0.1,31,36.92,0.978765,38.4481,44.8453,46.8773
100,0.1,32,37.54,0.939487,38.7917,43.7721,47.2489
100,0.1,33,36.39,1.03141,36.5268,42.9442,45.3362
100,0.1,34,37.9,0.975744,38.0938,45.6711,47.5393
100,0.1,35,41.05,0.96959,41.8449,47.9973,50.381
100,0.1,36,38.55,1.13606,37.9183,45.7246,48.453
100,0.1,37,39.73,0.850617,39.5567,45.4457,47.3588
100,0.1,38,35.5,1.16625,35.1039,43.1167,44.7883
100,0.1,39,36.03,1.05081,37.4164,43.7737,45.9596
100,0.1,40,37.92,0.980555,39.2167,44.8989,47.276
100,0.1,41,40.02,1.02982,40.8194,47.1254,49.6855
100,0.1,42,39.23,1.00035,40.1167,45.6586,48.1741
100,0.1,43,35.46,1.08996,35.7851,42.5049,44.0059
100,0.1,44,34.65,1.09029,35.3845,42.3042,44.7876
100,0.1,45,37.05,1.04037,37.5364,44.8634,47.3142
100,0.1,46,40.26,1.01591,39.6609,46.2565,48.9378
100,0.1,47,33.36,1.16447,33.161,41.5426,43.0861
100,0.1,48,36.64,1.09938,35.8284,43.637,46.2643
100,0.1,49,37.99,0.956429,39.4453,45.1828,47.7953
100,0.2,0,37.98,0.845331,37.4546,43.593,46.2554
100,0.2,1,39.71,0.843097,40.4366,45.957,48.2782
100,0.2,2,35.46,0.874027,36.958,41.2051,43.8564
100,0.2,3,38.88,0.880223,37.6075,44.8635,47.749
100,0.2,4,36.5,0.958963,37.6731,43.3068,45.8118
100,0.2,5,39.43,0.93185,39.2385,46.3121,49.0877
100,0.2,6,38.03,1.03427,37.4265,44.5854,47.3481
100,0.2,7,37.63,0.891768,39.9514,43.2136,45.2335
100,0.2,8,38.8,0.803979,38.8879,43.2858,45.8724
100,0.2,9,37.6,1.0412,39.3103,43.8331,46.5333
100,0.2,10,37.49,0.873128,37.5623,43.3715,45.8049
100,0.2,11,36.97,0.959065,37.7578,44.1746,46.1107
100,0.2,12,39,0.959847,40.0737,44.415,48.2089
100,0.2,13,38.05,0.961933,39.1076,44.3873,47.2686
100,0.2,14,36.42,0.969259,36.4621,41.9636,44.7063
100,0.2,15,34.65,0.872428,33.1114,40.2064,42.8277
100,0.2,16,34.84,0.992096,33.9071,40.0831,42.66
100,0.2,17,36.45,0.870425,36.2426,42.427,44.6286
100,0.2,18,36.22,0.907589,36.1553,42.1761,44.4843
100,0.2,19,41.02,0.861689,42.3798,46.7062,49.4326
100,0.2,20,37.68,0.939275,36.9283,43.5382,45.6097
