width,noise,instance_number, greedy_mean,greedy_stdev,pagerank_value,regret_value,global_greedy,optimal_value
100,0,0,44.64,0.497062,42.8635,45.6943,45.3393,46.5074
100,0,1,44.78,0.428669,42.8975,45.6432,45.4788,46.6345
100,0,2,44.12,0.681772,42.9388,45.1703,44.7436,46.2598
100,0,3,43,0.697727,41.1424,44.1427,43.5584,45.2415
100,0,4,46,0.426025,44.8129,46.4489,46.8216,47.2906
100,0,5,45.3,0.629609,43.8857,45.8843,46.1418,47.028
100,0,6,44.8,0.375912,43.0523,44.9836,45.4526,46.5669
100,0,7,43.94,0.495871,42.5793,44.8083,45.119,46.0497
100,0,8,44.34,0.584581,42.9816,45.2273,45.2357,46.3646
100,0,9,44.94,0.406178,43.9112,45.4098,45.5358,46.6292
100,0,10,45.94,0.320432,44.7631,46.4585,46.2905,47.0146
100,0,11,43.98,0.487556,43.2896,44.4371,44.7902,45.8699
100,0,12,44.04,0.597725,42.8657,44.7928,45.1885,46.047
100,0,13,44.94,0.505896,44.5668,45.6575,45.8108,46.676
100,0,14,44.44,0.578986,43.3399,45.0289,45.3893,46.3353
100,0,15,44.98,0.591159,44.5822,45.8637,46.1588,46.8157
100,0,16,44.9,0.500685,44.609,45.5316,45.6923,46.7474
100,0,17,44.38,0.609398,44.0151,45.2434,45.6376,46.338
100,0,18,44.24,0.638918,42.7971,44.551,45.4026,46.1817
100,0,19,44.1,0.672591,42.595,44.9549,45.3733,46.1842
100,0,20,44,0.425931,41.49,44.3943,45.0971,46.0815
100,0,21,43.72,0.451971,41.8952,44.0891,44.7169,45.5534
100,0,22,45.46,0.549693,44.5475,45.9959,46.3577,47.0199
100,0,23,45,0.659566,44.5542,45.73,45.981,46.7236
100,0,24,44.98,0.468443,42.7094,45.9194,45.7758,46.7241
100,0,25,44.66,0.550582,44.0911,45.501,45.7891,46.467
100,0,26,45.3,0.629344,45.9827,46.4074,46.2961,46.9995
100,0,27,45.26,0.624746,44.7189,45.7843,46.2689,46.8816
100,0,28,43.64,0.475597,42.3339,44.5024,44.5998,45.621
100,0,29,45.78,0.332421,45.9884,46.433,46.3167,47.1176
100,0,30,44.36,0.652771,41.5445,44.6279,45.4707,46.2789
100,0,31,45.36,0.590971,45.1589,46.3265,46.2754,47.0377
100,0,32,44.3,0.611738,43.1533,45.3973,45.2739,46.257
100,0,33,45,0.494794,43.7574,45.5935,46.1092,46.8508
100,0,34,44.58,0.534501,44.4526,45.2895,45.3661,46.4152
100,0,35,44.04,0.584984,42.4909,45.3319,45.2962,46.1533
100,0,36,43.6,0.512091,41.7103,44.5253,44.1555,45.5611
100,0,37,43.34,0.58792,41.9518,44.3203,44.2914,45.4342
100,0,38,44.08,0.655196,41.7798,44.6161,45.2573,46.1387
100,0,39,44.96,0.49362,43.4869,45.5538,45.2859,46.7037
100,0,40,44,0.569489,42.7464,44.8907,45.037,45.9569
100,0,41,43.72,0.520906,42.2115,44.6519,44.6123,45.7796
100,0,42,44.98,0.403809,43.8864,45.6853,45.6385,46.5368
100,0,43,43.92,0.344604,41.9535,44.3463,44.2706,45.4573
100,0,44,44,0.647328,42.4935,44.5796,45.0938,46.1434
100,0,45,45.02,0.634906,44.9736,45.9515,46.0715,46.693
100,0,46,44.12,0.617556,41.8448,44.6924,45.3891,46.178
100,0,47,44.02,0.701327,40.992,44.8204,45.0116,46.0926
100,0,48,45.06,0.611096,44.0843,45.8289,46.1906,46.863
100,0,49,44.58,0.580112,41.9116,44.933,45.7322,46.5143
100,0.01,0,44.8,0.414475,44.1997,44.9063,45.5987,46.3748
100,0.01,1,44,0.553853,43.3613,44.5185,45.3774,46.1172
100,0.01,2,44.8,0.465943,42.8488,44.9953,45.9782,46.5415
100,0.01,3,45.02,0.608626,44.1902,46.1038,46.0909,46.7478
100,0.01,4,45.16,0.713183,45.1717,46.1923,46.1985,46.9174
100,0.01,5,44.84,0.434304,43.1569,45.2037,45.6941,46.2694
