width,noise,instance number, greedy mean,greedy stdev,pagerank value,regret value,optimal value
100,0,0,41.46,0.935882,42.3158,48.4085,48.4085
100,0,1,37.64,1.00565,37.2178,44.3979,44.3979
100,0,2,34.59,0.971573,35.1697,42.1351,42.1351
100,0,3,42.72,0.890968,43.8519,49.5269,49.5269
100,0,4,37.59,0.872486,37.7144,45.6665,45.6665
100,0,5,40.55,0.845004,42.1427,47.7213,47.7213
100,0,6,38.71,0.951476,39.0661,46.5408,46.5408
100,0,7,43.59,0.904905,43.2099,50.7962,50.7962
100,0,8,39.32,0.769576,38.5372,45.2438,45.2438
100,0,9,40.05,0.943326,41.4444,48.0557,48.0557
100,0,10,39.89,0.752928,41.1029,46.1029,46.1029
100,0,11,38.58,0.887178,37.5241,45.2139,45.2139
100,0,12,43.2,0.996495,43.518,51.4372,51.4372
100,0,13,39.47,0.914612,40.096,45.789,45.789
100,0,14,42.33,0.860928,41.6027,49.7613,49.7613
100,0,15,41.94,0.957276,41.8469,45.5343,45.5343
100,0,16,40.73,1.02321,41.2723,46.1162,46.1162
100,0,17,41.14,0.876651,40.3843,47.72,47.72
100,0,18,42.26,0.786881,43.2026,49.6327,49.6327
100,0,19,44.42,0.902198,44.3917,50.8107,50.8107
100,0.01,0,34.13,1.1439,34.49,43.0626,43.8586
100,0.01,1,39.37,1.0569,40.6071,48.2476,49.9072
100,0.01,2,37.89,0.986757,38.5235,47.5172,48.711
100,0.01,3,38.17,1.18084,37.9692,46.9365,49.0231
100,0.01,4,40.4,1.00496,41.5018,49.2926,51.329
100,0.01,5,38.64,1.01043,38.314,46.6926,49.0275
100,0.01,6,38.4,0.991463,39.0174,46.4431,47.3631
100,0.01,7,36.66,1.08756,35.8038,45.3361,46.0434
100,0.01,8,34.2,1.03764,33.5817,42.9805,44.3285
100,0.01,9,38.49,1.18274,37.2318,49.1977,50.8158
100,0.01,10,41.02,1.13973,40.5709,50.1466,51.9097
100,0.01,11,36.15,1.20193,36.8231,45.5798,46.7198
100,0.01,12,38.42,1.04205,39.1516,45.9608,46.7469
100,0.01,13,38.82,1.24679,37.7395,48.3914,50.2241
100,0.01,14,38.75,1.03595,37.405,47.3524,49.0003
100,0.01,15,39.58,1.06672,39.0313,48.6787,50.1855
100,0.01,16,36.65,1.04263,37.6392,45.8116,46.9215
100,0.01,17,40.21,1.07215,39.2676,47.1016,49.5573
100,0.01,18,40.19,0.959972,41.4011,47.9042,49.4088
100,0.01,19,38.89,1.10356,42.3806,47.5139,48.1408
100,0.02,0,36.25,0.888305,36.9825,43.9087,45.9518
100,0.02,1,38.05,1.05815,37.5585,47.3477,48.825
100,0.02,2,35.83,1.16499,38.6322,45.4046,47.0462
100,0.02,3,40.56,1.09173,40.547,48.5425,51.5598
100,0.02,4,39.02,1.03703,39.7323,46.8775,48.8044
100,0.02,5,38.75,1.05078,39.9586,47.8769,49.9949
100,0.02,6,36.94,1.01895,37.2769,44.9962,46.7155
100,0.02,7,36.01,1.07139,35.4641,44.7246,46.6732
100,0.02,8,37.68,1.12121,38.0565,44.2541,44.5344
100,0.02,9,37.11,1.12548,37.9375,45.08,46.6043
100,0.02,10,34.67,1.02016,34.6264,42.9361,44.9812
100,0.02,11,34.45,1.00493,34.0916,43.5515,45.4861
100,0.02,12,36.72,1.0939,36.774,45.2697,47.7094
100,0.02,13,37.78,1.0846,37.4207,46.9438,49.0094
100,0.02,14,34.1,1.25631,33.9433,43.2429,45.2216
100,0.02,15,37.23,0.980041,37.1522,46.6856,48.2062
100,0.02,16,34.24,1.19063,33.7068,42.8485,43.725
100,0.02,17,37.35,0.956879,39.0538,46.432,47.6405
100,0.02,18,38.03,1.03117,39.9266,46.7838,48.771
100,0.02,19,35.61,1.12057,36.0474,44.7404,46.6758
100,0.03,0,37.03,1.00833,37.2033,43.8762,46.1568
100,0.03,1,36.07,1.08931,36.6058,44.2968,46.8601
100,0.03,2,35.75,1.06938,36.789,42.2532,43.9296
100,0.03,3,36.43,1.11577,37.2869,45.5209,48.1444
100,0.03,4,38.41,1.09402,39.4344,46.7438,48.736
100,0.03,5,34.71,0.980638,37.2381,41.2895,43.5702
100,0.03,6,37.75,1.07198,38.6331,46.2827,48.3328
100,0.03,7,37.81,1.02723,37.7591,45.7356,46.8901
100,0.03,8,39.74,0.98645,39.7801,48.1751,50.0036
100,0.03,9,38.21,1.07234,38.599,45.8614,48.9609
100,0.03,10,38.07,1.21726,37.2372,46.8319,47.7422
100,0.03,11,33.4,1.24402,33.6437,42.207,43.6465
100,0.03,12,36.56,1.06235,36.7427,44.7524,47.2851
100,0.03,13,35.25,1.15599,35.0371,44.6235,47.0261
100,0.03,14,36.53,0.972866,37.8889,43.8789,44.1476
100,0.03,15,34.42,1.06015,34.1323,44.596,46.1351
100,0.03,16,40.21,1.12604,40.4789,47.9749,50.5079
100,0.03,17,38.17,1.18301,39.1241,45.9729,49.0949
100,0.03,18,35.98,0.992734,35.9489,44.3366,46.3346
100,0.03,19,37.28,1.08714,36.4464,46.4629,47.7818
100,0.04,0,39.06,1.18208,39.9482,46.3386,47.4955
100,0.04,1,36.94,1.03065,37.1046,45.6593,47.5395
100,0.04,2,37.64,0.953487,39.4549,44.9386,47.7247
100,0.04,3,36.39,1.05823,36.1892,43.569,45.6979
100,0.04,4,37.96,0.992048,38.5683,46.4186,48.1583
100,0.04,5,41.25,1.05133,41.4375,49.1732,51.1406
100,0.04,6,38.66,1.16741,40.7513,47.0654,49.1222
100,0.04,7,39.98,0.842421,41.0362,46.0631,47.7176
100,0.04,8,35.31,1.226,35.0243,43.7851,45.1345
100,0.04,9,35.99,1.10814,37.1276,44.307,46.5239
100,0.04,10,38,0.979331,39.4232,45.6576,47.5926
100,0.04,11,40.2,1.07176,40.0392,48.0071,50.4434
100,0.04,12,39.13,1.06716,38.9424,46.375,48.7854
100,0.04,13,34.95,1.17977,36.8751,42.6966,44.1527
100,0.04,14,34.51,1.16265,35.5526,43.0584,45.2656
100,0.04,15,36.88,1.11839,36.4982,45.5133,47.9517
100,0.04,16,40.33,1.08796,39.575,46.7246,49.6068
100,0.04,17,33.08,1.20015,32.1171,41.8831,43.3821
100,0.04,18,36.63,1.1145,37.8928,44.4576,46.659
100,0.04,19,37.96,0.997428,37.5184,45.8945,48.4409
100,0.05,0,37.63,0.972919,37.5928,45.1492,46.9697
100,0.05,1,39.75,0.951958,39.8024,47.3291,49.3093
100,0.05,2,34.72,1.00988,33.6726,42.6789,44.523
100,0.05,3,38.67,0.99408,38.2514,46.2028,48.9986
100,0.05,4,35.94,1.06709,36.6791,44.4177,46.7609
100,0.05,5,39.46,1.09795,40.5801,48.048,50.1784
100,0.05,6,37.63,1.20126,37.9017,46.3586,48.6052
100,0.05,7,36.88,0.977852,39.0586,43.4233,45.5036
100,0.05,8,38.61,0.909039,36.9102,44.5067,46.1979
100,0.05,9,37.26,1.17697,36.5654,45.705,47.5608
100,0.05,10,36.89,1.05992,37.3954,44.1779,46.828
100,0.05,11,36.46,1.05015,36.055,45.4612,47.2146
100,0.05,12,38.76,1.06699,39.4756,46.3253,49.4745
100,0.05,13,37.63,1.13746,37.6242,45.5606,48.6131
100,0.05,14,35.78,1.11402,37.5756,43.2182,44.9939
100,0.05,15,33.68,0.98747,34.2271,41.0302,43.4601
100,0.05,16,33.85,1.13565,37.1815,40.5409,42.5892
100,0.05,17,35.79,0.991144,37.1183,43.4966,45.0727
100,0.05,18,35.71,1.00325,36.3764,43.4752,44.8887
100,0.05,19,41.17,0.944393,42.2785,48.5097,51.1426
