width,noise,instance number, greedy mean,greedy stdev,pagerank value,regret value,optimal value
100,0,0,41.33,0.885175,28.7993,48.4085,48.4085,48.4085
100,0,1,36.41,0.904758,23.0724,44.3979,44.3979,44.3979
100,0,2,36.92,0.843981,24.1473,42.1351,42.1351,42.1351
100,0,3,43.35,0.904744,30.5543,49.5269,49.5269,49.5269
100,0,4,39.21,0.960246,25.96,45.6665,45.6665,45.6665
100,0,5,41.84,0.962604,28.675,47.7213,47.7213,47.7213
100,0,6,40.8,0.994531,28.5326,46.5408,46.5408,46.5408
100,0,7,43.17,0.9089,30.1765,50.7962,50.7962,50.7962
100,0,8,40,0.913531,27.5623,45.2438,45.2438,45.2438
100,0,9,41.7,0.903125,27.6374,48.0557,48.0557,48.0557
100,0,10,39.56,0.99932,27.546,46.1029,46.1029,46.1029
100,0,11,40.31,0.907696,27.8606,45.2139,45.2139,45.2139
100,0,12,42.84,0.951955,29.6332,51.4372,51.4372,51.4372
100,0,13,38.9,0.902126,25.9271,45.789,45.789,45.789
100,0,14,42.75,1.08209,29.4625,49.7613,49.7613,49.7613
100,0,15,38.69,0.91315,27.221,45.5343,45.5343,45.5343
100,0,16,40.36,0.805453,29.6342,46.1162,46.1162,46.1162
100,0,17,39.11,0.997777,26.6131,47.72,47.72,47.72
100,0,18,42.13,0.968621,28.3206,49.6327,49.6327,49.6327
100,0,19,43.12,0.919751,32.1814,50.8107,50.8107,50.8107
100,0,20,39.58,0.858329,27.0551,43.8902,43.8902,43.8902
100,0,21,43.6,0.809072,31.3366,50.1349,50.1349,50.1349
100,0,22,42.38,1.01558,30.3482,48.8602,48.8602,48.8602
100,0,23,42.78,0.785149,32.2077,49.2343,49.2343,49.2343
100,0,24,44.16,1.09681,31.4126,51.5658,51.5658,51.5658
100,0,25,42.22,0.822052,31.579,49.2294,49.2294,49.2294
100,0,26,40.3,1.00371,26.4999,47.4529,47.4529,47.4529
100,0,27,38.16,1.05819,25.1619,46.1791,46.1791,46.1791
100,0,28,38.92,0.897314,26.7529,44.4113,44.4113,44.4113
100,0,29,42.31,1.01012,29.1401,51.0674,51.0674,51.0674
100,0,30,46.43,0.783494,33.9651,52.1248,52.1248,52.1248
100,0,31,40.68,0.994483,28.5894,46.8355,46.8355,46.8355
100,0,32,39.69,0.889911,28.1194,46.8247,46.8247,46.8247
100,0,33,41.88,1.0168,28.5999,50.4719,50.4719,50.4719
100,0,34,42.05,0.835931,29.5044,49.1916,49.1916,49.1916
100,0,35,43.57,0.897078,31.1121,50.4184,50.4184,50.4184
100,0,36,40.71,0.908459,30.0346,47.0677,47.0677,47.0677
100,0,37,43.52,0.706976,32.3246,49.687,49.687,49.687
100,0,38,42.8,0.921953,31.6254,49.5807,49.5807,49.5807
100,0,39,41.61,0.859115,29.8658,48.2618,48.2618,48.2618
100,0,40,39.59,0.864715,27.6999,46.2042,46.2042,46.2042
100,0,41,41.5,0.885124,29.0734,49.2192,49.2192,49.2192
100,0,42,40.37,0.941771,27.6232,47.3649,47.3649,47.3649
100,0,43,44.51,0.834774,32.7046,51.9955,51.9955,51.9955
100,0,44,43.61,0.910649,31.9728,49.0936,49.0936,49.0936
100,0,45,43,0.99388,30.157,50.3738,50.3738,50.3738
100,0,46,39.49,0.867289,27.2352,46.9134,46.9134,46.9134
100,0,47,40.32,0.817034,29.161,46.9766,46.9766,46.9766
100,0,48,38.54,0.895787,26.7752,44.5971,44.5971,44.5971
100,0,49,39.47,0.843711,26.5615,46.86,46.86,46.86
100,0.1,0,34.81,0.947725,34.6871,41.8506,44.2174,44.4473
100,0.1,1,35.26,1.18458,35.2352,43.0813,44.5782,44.8744
100,0.1,2,37.85,0.980251,38.2412,44.32,46.4379,46.7315
100,0.1,3,37.08,1.05789,38.0178,44.8616,47.4318,48.1609
100,0.1,4,33.76,1.05362,33.789,42.2599,44.2719,44.621
100,0.1,5,36.81,1.02423,38.3453,45.0092,46.9794,47.2912
100,0.1,6,35.09,1.01495,37.5351,42.7492,43.2134,43.5052
100,0.1,7,36.59,0.99186,37.3607,43.748,46.5392,46.8134
100,0.1,8,38.12,1.00047,38.4553,46.2389,47.6698,47.912
100,0.1,9,35.41,1.00544,34.7857,42.7847,45.7163,46.9064
100,0.1,10,37.05,1.01756,35.6459,43.4484,45.5324,45.7356
100,0.1,11,36.04,1.03353,36.4017,43.5373,45.7807,46.157
100,0.1,12,35.76,1.01907,36.5506,41.7934,43.5019,43.9394
100,0.1,13,36.9,1.0277,37.0534,44.1914,46.9361,47.2435
100,0.1,14,38.83,1.01433,41.1168,45.9515,47.6664,47.9969
100,0.1,15,34.51,0.963282,33.892,40.9257,43.0613,43.38
100,0.1,16,37.39,1.03483,37.8455,44.8953,47.2459,47.6225
100,0.1,17,36.64,0.995306,36.4935,43.5587,46.1794,46.6216
100,0.1,18,40.25,1.0236,41.8987,47.1541,48.9122,49.2779
100,0.1,19,38.4,1.01845,37.994,45.4455,47.9135,48.2458
100,0.1,20,37.65,1.03655,38.7946,45.0911,46.9845,47.2639
100,0.1,21,32.79,0.95646,31.4465,41.299,43.0557,43.3092
100,0.1,22,36.57,1.07435,36.3462,44.2849,46.3744,46.7302
100,0.1,23,36.64,1.17765,37.1786,45.0202,46.2636,46.4977
